married / was married,couple,any relation,respondent gender,couple gender,interracial couple,respondent age,partner age,education gap,couple salary gap,couple political stability,meeting interface,try app service,relation duration [year],relation quality
yes,yes,,Male,hetero couple,no,[60 -70],[40 -50],2.0,[Partner Name] earned more,6.0,,,11.08,Excellent
,yes,,Male,hetero couple,no,[30 -40],[30 -40],0.0,We earned about the same amount,4.0,meet through internet,yes,0.08,Excellent
,yes,,Male,hetero couple,no,[50 -60],[50 -60],3.0,I earned more,2.0,meet through work,,2.42,Excellent
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],0.0,I earned more,6.0,meet in neighborhood,,16.83,Excellent
yes,yes,,Male,hetero couple,no,[30 -40],[50 -60],1.0,We earned about the same amount,4.0,meet through family,,1.5,Good
yes,yes,,Female,hetero couple,yes,[60 -70],[60 -70],3.0,[Partner Name] earned more,4.0,,,45.83,Excellent
yes,yes,,Male,hetero couple,yes,[30 -40],[20 -30],0.0,We earned about the same amount,5.0,meet in neighborhood,,,Excellent
no,no,yes,Female,lesbian couple,no,[10 -20],[10 -20],1.0,[Partner Name] earned more,6.0,meet through internet,,0.33,
no,no,yes,Male,gay male couple,,[50 -60],[50 -60],2.0,[Partner Name] earned more,5.0,,,3.92,
yes,yes,,Female,hetero couple,no,[40 -50],[40 -50],0.0,[Partner Name] earned more,5.0,meet through work,,20.0,Excellent
,yes,,Male,gay male couple,no,[60 -70],[50 -60],5.0,[Partner Name] earned more,4.0,meet through family,,40.58,Excellent
yes,yes,,Male,hetero couple,yes,[50 -60],[50 -60],1.0,I earned more,4.0,meet through work,,17.5,Excellent
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],2.0,I earned more,6.0,,,34.17,Excellent
yes,yes,,Male,hetero couple,no,[70 -80],[60 -70],4.0,I earned more,6.0,meet through family,,49.25,Excellent
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],2.0,[Partner Name] earned more,5.0,meet through internet,,9.42,Good
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],0.0,I earned more,4.0,meet through friends,,42.67,Good
,yes,,Female,hetero couple,no,[30 -40],[30 -40],1.0,We earned about the same amount,6.0,meet through friends,,3.42,Excellent
yes,yes,,Female,hetero couple,no,[20 -30],[20 -30],2.0,[Partner Name] was not working for pay,6.0,meet through work,,9.17,Very Poor
no,no,yes,Female,hetero couple,yes,[30 -40],[30 -40],8.0,I earned more,5.0,,,1.08,
,yes,,Male,hetero couple,no,[30 -40],[30 -40],0.0,I earned more,2.0,meet through family,,,Excellent
yes,no,yes,Male,hetero couple,no,[60 -70],[70 -80],4.0,I earned more,6.0,meet through friends,,,
,yes,,Male,hetero couple,no,[30 -40],[20 -30],0.0,I earned more,6.0,meet through studies,,13.5,Good
no,no,yes,Female,hetero couple,yes,[20 -30],[20 -30],0.0,We earned about the same amount,4.0,meet through internet,,0.0,
yes,yes,,Male,gay male couple,no,[40 -50],[40 -50],4.0,[Partner Name] earned more,6.0,meet through work,,11.42,Excellent
yes,yes,,Male,hetero couple,no,[70 -80],[60 -70],0.0,[Partner Name] was not working for pay,6.0,meet through friends,,46.17,Excellent
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],2.0,I earned more,6.0,meet through work,,45.33,Excellent
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],1.0,We earned about the same amount,6.0,,,35.42,Fair
no,no,yes,Female,hetero couple,no,[70 -80],[70 -80],0.0,I earned more,6.0,meet in neighborhood,,51.5,
,no,no,Male,,,[20 -30],,,,,,,,
yes,yes,,Female,hetero couple,no,[70 -80],[70 -80],4.0,[Partner Name] earned more,5.0,,,57.25,Excellent
yes,yes,,Female,hetero couple,no,[40 -50],[40 -50],0.0,[Partner Name] earned more,5.0,meet through studies,,27.67,Excellent
yes,yes,,Male,hetero couple,no,[70 -80],[70 -80],0.0,I earned more,5.0,,,60.08,Excellent
,yes,,Female,hetero couple,no,[50 -60],[50 -60],6.0,[Partner Name] earned more,6.0,,,4.92,Good
no,no,yes,Female,hetero couple,no,[50 -60],[60 -70],0.0,I earned more,5.0,meet through work,,4.5,
,yes,,Male,hetero couple,no,[30 -40],[30 -40],3.0,[Partner Name] was not working for pay,5.0,meet through friends,,3.0,Excellent
yes,yes,,Male,hetero couple,yes,[60 -70],[70 -80],0.0,I earned more,3.0,,,30.25,Excellent
yes,yes,,Male,hetero couple,yes,[50 -60],[50 -60],0.0,I earned more,5.0,,,31.83,Excellent
yes,yes,,Female,hetero couple,no,[30 -40],[50 -60],0.0,I earned more,4.0,meet through friends,,13.33,Good
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],0.0,I earned more,5.0,meet through work,no,13.17,Fair
no,no,yes,Female,hetero couple,,[60 -70],[60 -70],4.0,We earned about the same amount,3.0,,,12.58,
,yes,,Female,hetero couple,no,[10 -20],[20 -30],0.0,[Partner Name] was not working for pay,5.0,meet through studies,,1.25,Excellent
yes,yes,,Male,hetero couple,no,[40 -50],[30 -40],4.0,I earned more,6.0,,,10.33,Excellent
yes,yes,,Female,hetero couple,no,[50 -60],[50 -60],0.0,[Partner Name] earned more,6.0,meet through friends,,32.0,Excellent
yes,yes,,Female,hetero couple,no,[20 -30],[30 -40],0.0,[Partner Name] earned more,6.0,,,6.08,Excellent
yes,no,yes,Female,hetero couple,yes,[70 -80],[70 -80],1.0,[Partner Name] earned more,4.0,meet through studies,,,
yes,yes,,Female,hetero couple,yes,[60 -70],[50 -60],3.0,[Partner Name] earned more,5.0,,,28.67,Excellent
no,no,yes,Male,hetero couple,yes,[30 -40],[30 -40],0.0,We earned about the same amount,4.0,meet through studies,,1.58,
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],0.0,[Partner Name] earned more,6.0,,,34.5,Excellent
yes,yes,,Male,hetero couple,no,[60 -70],[70 -80],2.0,[Partner Name] was not working for pay,4.0,meet through work,no,36.42,Fair
yes,yes,,Male,hetero couple,no,[70 -80],[70 -80],1.0,[Partner Name] was not working for pay,4.0,meet through studies,,52.5,Excellent
,yes,,Male,hetero couple,no,[20 -30],[20 -30],1.0,I earned more,2.0,,no,5.08,Excellent
no,no,yes,Male,gay male couple,no,[40 -50],[40 -50],3.0,I earned more,5.0,meet through work,,1.08,
yes,yes,,Male,hetero couple,no,[40 -50],[40 -50],0.0,I earned more,2.0,meet through friends,yes,21.58,Fair
yes,yes,,Female,hetero couple,no,[60 -70],[70 -80],0.0,We earned about the same amount,5.0,meet through friends,,49.08,Excellent
,yes,,Male,gay male couple,no,[60 -70],[60 -70],1.0,[Partner Name] earned more,6.0,meet through friends,,47.75,Good
yes,yes,,Female,hetero couple,no,[30 -40],[30 -40],0.0,I earned more,4.0,meet through friends,,9.83,Good
yes,yes,,Male,hetero couple,no,[60 -70],[50 -60],0.0,[Partner Name] earned more,4.0,,,11.92,Excellent
,yes,,Female,hetero couple,no,[20 -30],[20 -30],2.0,[Partner Name] earned more,4.0,meet through studies,,6.42,Excellent
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],0.0,I earned more,4.0,meet through studies,,41.5,Good
yes,yes,,Female,hetero couple,no,[50 -60],[50 -60],0.0,We earned about the same amount,5.0,,,22.92,Good
yes,yes,,Female,hetero couple,no,[40 -50],[40 -50],2.0,I earned more,5.0,meet through friends,,16.92,Excellent
,yes,,Male,gay male couple,no,[40 -50],[40 -50],4.0,[Partner Name] earned more,6.0,meet through internet,,13.5,Excellent
no,no,yes,Female,hetero couple,no,[60 -70],[70 -80],0.0,[Partner Name] earned more,3.0,meet through internet,,0.33,
yes,yes,,Male,hetero couple,no,[70 -80],[70 -80],2.0,We earned about the same amount,5.0,meet through friends,,,Poor
yes,yes,,Female,hetero couple,no,[40 -50],[50 -60],1.0,We earned about the same amount,4.0,meet through internet,,3.67,Excellent
yes,yes,,Female,hetero couple,no,[60 -70],[70 -80],1.0,[Partner Name] was not working for pay,4.0,meet through friends,,44.42,Good
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],3.0,I earned more,5.0,meet through work,,49.58,Good
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],1.0,I earned more,6.0,meet through friends,,15.0,Excellent
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],0.0,[Partner Name] earned more,6.0,meet through friends,,47.5,Excellent
yes,yes,,Male,hetero couple,no,[70 -80],[70 -80],0.0,I earned more,6.0,meet through studies,,53.08,Good
yes,yes,,Female,hetero couple,no,[40 -50],[40 -50],0.0,[Partner Name] earned more,3.0,meet through studies,,24.42,Good
yes,yes,,Female,hetero couple,no,[40 -50],[40 -50],1.0,I earned more,5.0,meet through friends,,14.25,Fair
yes,yes,,Male,hetero couple,yes,[40 -50],[40 -50],0.0,I earned more,5.0,,yes,41.5,Excellent
,yes,,Female,hetero couple,yes,[50 -60],[40 -50],5.5,[Partner Name] earned more,4.0,meet through internet,,1.25,Excellent
,yes,,Male,hetero couple,yes,[20 -30],[20 -30],0.0,[Partner Name] earned more,4.0,,yes,0.25,Good
,yes,,Female,lesbian couple,no,[40 -50],[30 -40],4.0,I earned more,0.0,meet through friends,,6.67,Good
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],1.0,We earned about the same amount,3.0,meet through friends,,42.0,Excellent
,yes,,Male,gay male couple,yes,[50 -60],[20 -30],1.0,I earned more,5.0,meet through internet,yes,7.25,Good
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],4.0,We earned about the same amount,6.0,meet through studies,,51.75,Excellent
no,no,yes,Male,gay male couple,no,[70 -80],[80 -90],2.0,[Partner Name] earned more,4.0,,,24.92,
yes,no,yes,Female,hetero couple,no,[60 -70],[70 -80],0.0,We earned about the same amount,5.0,,,,
no,no,yes,Male,hetero couple,yes,[20 -30],[20 -30],1.0,[Partner Name] earned more,5.0,,,0.75,
yes,yes,,Male,hetero couple,no,[80 -90],[80 -90],7.0,I earned more,6.0,meet through friends,,,Excellent
no,no,yes,Male,hetero couple,no,[20 -30],[20 -30],4.0,[Partner Name] was not working for pay,4.0,meet through studies,,0.33,
yes,yes,,Male,hetero couple,no,[80 -90],[70 -80],2.0,[Partner Name] was not working for pay,6.0,meet through studies,,55.75,Excellent
yes,yes,,Male,hetero couple,no,[40 -50],[40 -50],0.0,I earned more,6.0,meet through work,,16.25,Excellent
yes,yes,,Female,hetero couple,no,[40 -50],[40 -50],0.0,[Partner Name] earned more,4.0,meet through work,,10.25,Good
yes,yes,,Female,hetero couple,no,[20 -30],[20 -30],1.0,We earned about the same amount,6.0,meet through work,,7.75,Excellent
yes,yes,,Male,hetero couple,no,[70 -80],[70 -80],1.0,I earned more,5.0,,,59.0,Excellent
no,no,yes,Male,hetero couple,yes,[50 -60],[50 -60],0.0,We earned about the same amount,5.0,meet through work,,0.92,
,no,no,Female,,,[30 -40],,,,,,,,
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],0.0,I earned more,6.0,,,45.17,Excellent
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],1.0,[Partner Name] earned more,2.0,,,34.92,Good
yes,yes,,Male,hetero couple,no,[60 -70],[50 -60],0.0,[Partner Name] earned more,4.0,meet through friends,,42.08,Excellent
yes,yes,,Male,hetero couple,no,[30 -40],[40 -50],3.0,I earned more,5.0,meet through work,,10.25,Fair
yes,yes,,Female,hetero couple,no,[50 -60],[60 -70],0.0,I earned more,6.0,,,25.67,Excellent
no,no,yes,Male,hetero couple,no,[40 -50],[40 -50],0.0,I earned more,6.0,meet through studies,,1.08,
no,no,yes,Female,hetero couple,no,[60 -70],[60 -70],2.0,I earned more,5.0,meet through work,,1.92,
no,no,yes,Female,hetero couple,no,[20 -30],[30 -40],3.0,I earned more,5.0,meet through internet,no,0.67,
yes,yes,,Female,hetero couple,no,[50 -60],[60 -70],1.0,I earned more,2.0,meet through family,,21.42,Excellent
yes,yes,,Male,hetero couple,no,[60 -70],[70 -80],0.0,[Partner Name] was not working for pay,5.0,meet through studies,,51.75,Excellent
yes,yes,,Male,hetero couple,no,[70 -80],[60 -70],0.0,[Partner Name] earned more,5.0,,,41.67,Excellent
,no,no,Female,,,[20 -30],,,,,,,,
,yes,,Female,hetero couple,no,[20 -30],[20 -30],2.0,[Partner Name] earned more,6.0,meet through studies,,1.83,Excellent
yes,yes,,Female,hetero couple,no,[40 -50],[50 -60],1.0,[Partner Name] earned more,6.0,meet through internet,,3.08,Excellent
,yes,,Female,hetero couple,no,[20 -30],[30 -40],4.0,We earned about the same amount,1.0,meet through friends,,6.08,Excellent
yes,no,yes,Female,hetero couple,no,[70 -80],[70 -80],4.0,[Partner Name] earned more,4.0,meet in neighborhood,,,
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],4.0,[Partner Name] earned more,5.0,meet through internet,,12.25,Excellent
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],4.0,[Partner Name] earned more,4.0,meet through work,,,Excellent
yes,yes,,Female,hetero couple,no,[30 -40],[40 -50],1.0,[Partner Name] earned more,5.0,,,13.25,Good
,yes,,Female,lesbian couple,no,[60 -70],[40 -50],3.0,We earned about the same amount,5.0,,,5.0,Excellent
yes,no,yes,Female,hetero couple,no,[60 -70],[60 -70],0.0,I earned more,6.0,meet through friends,,,
yes,yes,,Female,hetero couple,no,[50 -60],[60 -70],0.0,I earned more,5.0,meet through friends,,40.83,Good
no,no,yes,Male,hetero couple,no,[20 -30],[20 -30],1.0,[Partner Name] earned more,1.0,,yes,0.92,
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],2.0,I earned more,6.0,meet through studies,,39.83,Excellent
,yes,,Female,hetero couple,no,[30 -40],[40 -50],1.0,We earned about the same amount,5.0,,,0.17,Good
,yes,,Male,hetero couple,no,[60 -70],[30 -40],0.0,I earned more,5.0,,no,,Good
yes,yes,,Female,hetero couple,yes,[20 -30],[30 -40],0.0,I earned more,4.0,meet through friends,no,8.17,Very Poor
yes,yes,,Female,hetero couple,no,[50 -60],[50 -60],0.0,I earned more,5.0,meet through work,,40.17,Good
yes,yes,,Female,hetero couple,no,[50 -60],[60 -70],3.0,[Partner Name] earned more,6.0,meet through work,,14.92,Fair
,no,no,Male,,,[20 -30],,,,,,,,
yes,yes,,Female,hetero couple,no,[40 -50],[50 -60],1.0,[Partner Name] earned more,6.0,,,17.33,Excellent
,yes,,Male,hetero couple,no,[50 -60],[50 -60],3.0,I earned more,4.0,meet through work,,0.58,Excellent
yes,yes,,Male,hetero couple,no,[40 -50],[40 -50],5.0,We earned about the same amount,5.0,,,20.08,Excellent
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],0.0,We earned about the same amount,4.0,,,24.33,Excellent
yes,yes,,Female,hetero couple,no,[30 -40],[30 -40],0.0,[Partner Name] earned more,4.0,,,8.67,Excellent
yes,yes,,Male,hetero couple,yes,[20 -30],[20 -30],3.0,I earned more,5.0,meet through friends,,10.0,Excellent
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],0.0,[Partner Name] was not working for pay,2.0,meet in neighborhood,,47.17,Excellent
yes,yes,,Female,hetero couple,no,[40 -50],[50 -60],2.0,We earned about the same amount,4.0,meet through friends,,25.92,Excellent
yes,yes,,Male,hetero couple,no,[80 -90],[60 -70],5.0,[Partner Name] earned more,6.0,,,29.83,Excellent
yes,yes,,Female,hetero couple,no,[50 -60],[50 -60],3.0,[Partner Name] earned more,6.0,meet through studies,,28.17,Excellent
yes,yes,,Female,hetero couple,no,[30 -40],[30 -40],0.0,[Partner Name] earned more,5.0,meet through studies,,20.67,Excellent
yes,yes,,Female,hetero couple,no,[30 -40],[30 -40],3.0,[Partner Name] earned more,5.0,meet through friends,,7.25,Good
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],3.0,I earned more,3.0,meet through friends,,32.42,Good
yes,yes,,Male,hetero couple,yes,[70 -80],[50 -60],1.0,I earned more,4.0,meet through family,,21.42,Excellent
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],0.0,I earned more,6.0,meet through work,,9.92,Excellent
yes,no,yes,Male,hetero couple,no,[50 -60],[50 -60],0.0,I earned more,4.0,meet through work,,,
yes,yes,,Male,gay male couple,no,[60 -70],[60 -70],0.0,I earned more,6.0,meet in neighborhood,,26.08,Excellent
,yes,,Female,hetero couple,no,[60 -70],[60 -70],6.5,[Partner Name] was not working for pay,4.0,meet through work,,11.25,Excellent
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],2.0,I earned more,4.0,meet through friends,,,Good
no,no,yes,Female,lesbian couple,no,[30 -40],[20 -30],1.0,We earned about the same amount,5.0,meet through internet,,3.33,
,yes,,Female,hetero couple,no,[20 -30],[20 -30],0.0,[Partner Name] earned more,4.0,meet through studies,,6.83,Good
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],0.0,We earned about the same amount,4.0,meet through studies,,41.67,Excellent
yes,yes,,Female,hetero couple,no,[30 -40],[30 -40],0.0,[Partner Name] earned more,4.0,meet through friends,,12.83,Good
yes,yes,,Female,lesbian couple,no,[50 -60],[50 -60],0.0,We earned about the same amount,4.0,,,39.0,Excellent
yes,yes,,Male,hetero couple,no,[70 -80],[70 -80],1.0,We earned about the same amount,6.0,meet through friends,,24.92,Excellent
yes,no,yes,Female,hetero couple,yes,[80 -90],[70 -80],12.0,I earned more,5.0,meet through work,,,
yes,yes,,Male,hetero couple,no,[20 -30],[30 -40],4.0,[Partner Name] earned more,5.0,meet through work,,4.08,Excellent
yes,yes,,Female,hetero couple,no,[70 -80],[70 -80],0.0,[Partner Name] earned more,4.0,meet through friends,,56.5,Excellent
no,no,yes,Female,lesbian couple,yes,[20 -30],[20 -30],4.0,We earned about the same amount,6.0,meet through work,no,0.17,
,yes,,Female,hetero couple,no,[80 -90],[50 -60],0.0,[Partner Name] earned more,5.0,meet in neighborhood,,,Good
,no,no,Male,,,[10 -20],,,,,,,,
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],2.0,I earned more,4.0,,,33.33,Good
yes,yes,,Female,hetero couple,no,[50 -60],[60 -70],1.0,[Partner Name] earned more,6.0,meet through work,,29.83,Good
yes,yes,,Male,hetero couple,yes,[60 -70],[20 -30],4.5,I earned more,3.0,,,3.5,Excellent
yes,yes,,Female,hetero couple,yes,[50 -60],[30 -40],7.0,I earned more,6.0,meet through internet,,6.5,Excellent
yes,yes,,Female,hetero couple,no,[50 -60],[60 -70],3.0,[Partner Name] earned more,5.0,meet through work,,12.42,Excellent
yes,yes,,Female,hetero couple,yes,[20 -30],[20 -30],0.0,[Partner Name] earned more,6.0,,,0.58,Very Poor
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],0.0,We earned about the same amount,5.0,meet through studies,,49.33,Excellent
,yes,,Female,hetero couple,no,[80 -90],[60 -70],0.0,We earned about the same amount,5.0,,,47.58,Good
,no,no,Female,,,[30 -40],,,,,,,,
,yes,,Female,hetero couple,no,[20 -30],[20 -30],0.0,[Partner Name] earned more,4.0,meet through studies,,3.42,Excellent
yes,yes,,Male,hetero couple,no,[40 -50],[30 -40],0.0,[Partner Name] earned more,5.0,meet through work,,17.25,Excellent
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],1.0,I earned more,6.0,meet through studies,,31.33,Excellent
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],0.0,[Partner Name] earned more,5.0,,,11.92,Good
,yes,,Male,hetero couple,no,[50 -60],[50 -60],4.0,[Partner Name] earned more,4.0,,no,25.0,Good
yes,yes,,Female,hetero couple,no,[40 -50],[40 -50],0.0,I earned more,3.0,meet through internet,,,Good
,yes,,Female,hetero couple,,[20 -30],[30 -40],3.0,[Partner Name] earned more,0.0,,no,6.25,Good
yes,yes,,Female,hetero couple,no,[40 -50],[40 -50],4.5,[Partner Name] earned more,4.0,,,25.92,Excellent
yes,yes,,Female,hetero couple,no,[40 -50],[50 -60],0.0,[Partner Name] earned more,6.0,meet through studies,,23.67,Excellent
,yes,,Male,gay male couple,no,[50 -60],[60 -70],0.0,[Partner Name] was not working for pay,5.0,,no,24.08,Good
,yes,,Female,hetero couple,no,[60 -70],[60 -70],3.0,[Partner Name] was not working for pay,5.0,meet through internet,,6.0,Good
no,no,yes,Female,hetero couple,no,[20 -30],[30 -40],0.0,We earned about the same amount,5.0,meet through work,,1.08,
no,no,yes,Female,hetero couple,no,[30 -40],[40 -50],4.0,We earned about the same amount,5.0,meet through internet,no,1.33,
no,no,yes,Male,gay male couple,no,[40 -50],,0.0,I earned more,3.0,meet through studies,,,
no,no,yes,Female,hetero couple,no,[20 -30],[20 -30],3.0,I earned more,5.0,meet through internet,,1.08,
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],0.0,I earned more,6.0,meet through studies,,26.0,Good
yes,yes,,Female,hetero couple,no,[70 -80],[80 -90],1.0,We earned about the same amount,6.0,meet through family,,37.0,Excellent
,yes,,Female,hetero couple,yes,[20 -30],[20 -30],1.0,[Partner Name] earned more,2.0,meet through internet,,2.58,Excellent
yes,yes,,Female,hetero couple,no,[40 -50],[40 -50],0.0,[Partner Name] earned more,5.0,meet through internet,,6.83,Fair
yes,yes,,Male,hetero couple,no,[80 -90],[80 -90],0.0,I earned more,6.0,meet through friends,,65.0,Good
,yes,,Male,hetero couple,no,[50 -60],[40 -50],4.0,[Partner Name] earned more,5.0,meet through internet,,4.92,Good
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],1.0,I earned more,4.0,meet through studies,,10.08,Excellent
yes,yes,,Female,hetero couple,yes,[30 -40],[40 -50],1.0,[Partner Name] earned more,6.0,,,8.25,Excellent
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],0.0,[Partner Name] earned more,4.0,meet through studies,,46.5,Excellent
yes,yes,,Male,hetero couple,no,[70 -80],[70 -80],5.0,We earned about the same amount,6.0,,,54.92,Excellent
yes,yes,,Female,hetero couple,yes,[50 -60],[50 -60],2.0,[Partner Name] earned more,6.0,meet through family,,28.25,Excellent
,yes,,Female,hetero couple,no,[30 -40],[30 -40],0.0,[Partner Name] earned more,5.0,meet through studies,,8.83,Excellent
,no,no,Male,,,[20 -30],,,,,,,,
yes,yes,,Female,hetero couple,no,[50 -60],[50 -60],1.0,[Partner Name] earned more,5.0,,,35.33,Excellent
no,no,yes,Male,hetero couple,yes,[50 -60],[40 -50],0.0,I earned more,3.0,,,0.25,
yes,yes,,Male,hetero couple,yes,[70 -80],[60 -70],3.0,I earned more,5.0,meet through work,,31.08,Excellent
no,no,yes,Male,gay male couple,yes,[30 -40],[30 -40],3.0,[Partner Name] earned more,3.0,,yes,1.5,
yes,yes,,Female,hetero couple,no,[70 -80],[50 -60],1.0,Refused,6.0,,,55.83,Good
,yes,,Male,gay male couple,no,[70 -80],[20 -30],4.0,I earned more,3.0,meet through friends,yes,1.42,Good
yes,yes,,Male,hetero couple,no,[40 -50],[50 -60],2.0,I earned more,4.0,,,9.42,Good
